model,layer,domain_a,domain_b,auc
google--gemma-3-12b-it--width_262k,29,biology,physics,0.70801
google--gemma-3-12b-it--width_262k,29,chemistry,math,0.793655
google--gemma-3-12b-it--width_262k,29,chemistry,physics,0.870988
google--gemma-3-12b-it--width_262k,29,math,physics,0.826282
google--gemma-3-12b-it--width_262k,30,biology,chemistry,0.735488
google--gemma-3-12b-it--width_262k,30,biology,math,0.691273
google--gemma-3-12b-it--width_262k,30,biology,physics,0.703771
google--gemma-3-12b-it--width_262k,30,chemistry,math,0.781352
google--gemma-3-12b-it--width_262k,30,chemistry,physics,0.855708
google--gemma-3-12b-it--width_262k,30,math,physics,0.819172
google--gemma-3-12b-it--width_262k,31,biology,chemistry,0.736068
google--gemma-3-12b-it--width_262k,31,biology,math,0.689885
google--gemma-3-12b-it--width_262k,31,biology,physics,0.704345
google--gemma-3-12b-it--width_262k,31,chemistry,math,0.776299
google--gemma-3-12b-it--width_262k,31,chemistry,physics,0.850008
google--gemma-3-12b-it--width_262k,31,math,physics,0.809836
google--gemma-3-12b-it--width_262k,32,biology,chemistry,0.738666
google--gemma-3-12b-it--width_262k,32,biology,math,0.689081
google--gemma-3-12b-it--width_262k,32,biology,physics,0.704811
google--gemma-3-12b-it--width_262k,32,chemistry,math,0.777447
google--gemma-3-12b-it--width_262k,32,chemistry,physics,0.847854
google--gemma-3-12b-it--width_262k,32,math,physics,0.80887
google--gemma-3-12b-it--width_262k,33,biology,chemistry,0.750161
google--gemma-3-12b-it--width_262k,33,biology,math,0.69577
google--gemma-3-12b-it--width_262k,33,biology,physics,0.716338
google--gemma-3-12b-it--width_262k,33,chemistry,math,0.782167
google--gemma-3-12b-it--width_262k,33,chemistry,physics,0.849811
google--gemma-3-12b-it--width_262k,33,math,physics,0.816006
google--gemma-3-12b-it--width_262k,34,biology,chemistry,0.764421
google--gemma-3-12b-it--width_262k,34,biology,math,0.710399
google--gemma-3-12b-it--width_262k,34,biology,physics,0.73044
google--gemma-3-12b-it--width_262k,34,chemistry,math,0.796358
google--gemma-3-12b-it--width_262k,34,chemistry,physics,0.861612
google--gemma-3-12b-it--width_262k,34,math,physics,0.831035
google--gemma-3-12b-it--width_262k,35,biology,chemistry,0.757319
google--gemma-3-12b-it--width_262k,35,biology,math,0.704193
google--gemma-3-12b-it--width_262k,35,biology,physics,0.723548
google--gemma-3-12b-it--width_262k,35,chemistry,math,0.793973
google--gemma-3-12b-it--width_262k,35,chemistry,physics,0.858103
google--gemma-3-12b-it--width_262k,35,math,physics,0.826497
google--gemma-3-12b-it--width_262k,36,biology,chemistry,0.735939
google--gemma-3-12b-it--width_262k,36,biology,math,0.680129
google--gemma-3-12b-it--width_262k,36,biology,physics,0.69969
google--gemma-3-12b-it--width_262k,36,chemistry,math,0.77477
google--gemma-3-12b-it--width_262k,36,chemistry,physics,0.842748
google--gemma-3-12b-it--width_262k,36,math,physics,0.809068
google--gemma-3-12b-it--width_262k,37,biology,chemistry,0.735811
google--gemma-3-12b-it--width_262k,37,biology,math,0.680107
google--gemma-3-12b-it--width_262k,37,biology,physics,0.699777
google--gemma-3-12b-it--width_262k,37,chemistry,math,0.767992
google--gemma-3-12b-it--width_262k,37,chemistry,physics,0.838096
google--gemma-3-12b-it--width_262k,37,math,physics,0.802776
google--gemma-3-12b-it--width_262k,38,biology,chemistry,0.732466
google--gemma-3-12b-it--width_262k,38,biology,math,0.678999
google--gemma-3-12b-it--width_262k,38,biology,physics,0.699553
google--gemma-3-12b-it--width_262k,38,chemistry,math,0.760556
google--gemma-3-12b-it--width_262k,38,chemistry,physics,0.830657
google--gemma-3-12b-it--width_262k,38,math,physics,0.797724
google--gemma-3-12b-it--width_262k,39,biology,chemistry,0.733018
google--gemma-3-12b-it--width_262k,39,biology,math,0.676364
google--gemma-3-12b-it--width_262k,39,biology,physics,0.698777
google--gemma-3-12b-it--width_262k,39,chemistry,math,0.761462
google--gemma-3-12b-it--width_262k,39,chemistry,physics,0.831509
google--gemma-3-12b-it--width_262k,39,math,physics,0.799518
google--gemma-3-12b-it--width_262k,40,biology,chemistry,0.74268
google--gemma-3-12b-it--width_262k,40,biology,math,0.687018
google--gemma-3-12b-it--width_262k,40,biology,physics,0.710845
google--gemma-3-12b-it--width_262k,40,chemistry,math,0.761357
google--gemma-3-12b-it--width_262k,40,chemistry,physics,0.828311
google--gemma-3-12b-it--width_262k,40,math,physics,0.799678
google--gemma-3-12b-it--width_262k,41,biology,chemistry,0.742788
google--gemma-3-12b-it--width_262k,41,biology,math,0.687751
google--gemma-3-12b-it--width_262k,41,biology,physics,0.711486
google--gemma-3-12b-it--width_262k,41,chemistry,math,0.767363
google--gemma-3-12b-it--width_262k,41,chemistry,physics,0.833049
google--gemma-3-12b-it--width_262k,41,math,physics,0.8032
google--gemma-3-12b-it--width_262k,42,biology,chemistry,0.744205
google--gemma-3-12b-it--width_262k,42,biology,math,0.686904
google--gemma-3-12b-it--width_262k,42,biology,physics,0.71019
google--gemma-3-12b-it--width_262k,42,chemistry,math,0.76843
google--gemma-3-12b-it--width_262k,42,chemistry,physics,0.836193
google--gemma-3-12b-it--width_262k,42,math,physics,0.804384
google--gemma-3-12b-it--width_262k,43,biology,chemistry,0.747469
google--gemma-3-12b-it--width_262k,43,biology,math,0.689301
google--gemma-3-12b-it--width_262k,43,biology,physics,0.714547
google--gemma-3-12b-it--width_262k,43,chemistry,math,0.770023
google--gemma-3-12b-it--width_262k,43,chemistry,physics,0.839952
google--gemma-3-12b-it--width_262k,43,math,physics,0.803866
google--gemma-3-12b-it--width_262k,44,biology,chemistry,0.756973
google--gemma-3-12b-it--width_262k,44,biology,math,0.700708
google--gemma-3-12b-it--width_262k,44,biology,physics,0.723433
google--gemma-3-12b-it--width_262k,44,chemistry,math,0.779665
google--gemma-3-12b-it--width_262k,44,chemistry,physics,0.848003
google--gemma-3-12b-it--width_262k,44,math,physics,0.812964
google--gemma-3-12b-it--width_262k,45,biology,chemistry,0.757711
google--gemma-3-12b-it--width_262k,45,biology,math,0.704476
google--gemma-3-12b-it--width_262k,45,biology,physics,0.725219
google--gemma-3-12b-it--width_262k,45,chemistry,math,0.784137
google--gemma-3-12b-it--width_262k,45,chemistry,physics,0.852784
google--gemma-3-12b-it--width_262k,45,math,physics,0.818212
google--gemma-3-12b-it--width_262k,46,biology,chemistry,0.755801
google--gemma-3-12b-it--width_262k,46,biology,math,0.700981
google--gemma-3-12b-it--width_262k,46,biology,physics,0.722184
google--gemma-3-12b-it--width_262k,46,chemistry,math,0.781954
google--gemma-3-12b-it--width_262k,46,chemistry,physics,0.850513
google--gemma-3-12b-it--width_262k,46,math,physics,0.818924
google--gemma-3-12b-it--width_262k,47,biology,chemistry,0.752316
google--gemma-3-12b-it--width_262k,47,biology,math,0.689374
google--gemma-3-12b-it--width_262k,47,biology,physics,0.715412
google--gemma-3-12b-it--width_262k,47,chemistry,math,0.781465
google--gemma-3-12b-it--width_262k,47,chemistry,physics,0.85061
google--gemma-3-12b-it--width_262k,47,math,physics,0.82159
